epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1614.8,1.06157,0.31549,0.01036,0.97864,0.96512,0.99104,0.65438,1.26618,0.34461,0.01204,0.000347561,0.000347561,0.000347561
112,1629.28,1.03731,0.30655,0.01022,0.99804,0.94186,0.99053,0.65028,1.27066,0.34104,0.01214,0.000332298,0.000332298,0.000332298
113,1643.74,1.01497,0.31451,0.00996,0.95429,0.97674,0.99077,0.65217,1.25487,0.35815,0.012,0.000317333,0.000317333,0.000317333
114,1658.08,1.02525,0.31786,0.00988,0.97149,0.96512,0.9887,0.64936,1.25754,0.34305,0.01201,0.000302672,0.000302672,0.000302672
115,1672.65,1.00936,0.31798,0.00973,0.97644,0.96404,0.98979,0.64709,1.27437,0.34385,0.01215,0.000288321,0.000288321,0.000288321
116,1687.08,1.03458,0.30839,0.01017,0.98821,0.97483,0.99131,0.64547,1.28392,0.33422,0.0122,0.000274287,0.000274287,0.000274287
117,1701.59,1.0121,0.31364,0.00985,0.97986,0.97674,0.99147,0.6581,1.23971,0.34668,0.01185,0.000260575,0.000260575,0.000260575
118,1716.02,1.01184,0.30906,0.00963,0.9882,0.97392,0.99208,0.65153,1.26205,0.35045,0.01203,0.000247192,0.000247192,0.000247192
119,1730.88,1.01943,0.30974,0.01004,0.98781,0.94253,0.98939,0.66646,1.21447,0.35936,0.01162,0.000234143,0.000234143,0.000234143
120,1745.5,1.02726,0.3169,0.00998,0.95202,0.97674,0.98904,0.65175,1.2498,0.36301,0.01196,0.000221435,0.000221435,0.000221435
121,1760.25,0.98746,0.32009,0.00956,0.97447,0.96512,0.98165,0.66698,1.22586,0.35296,0.0117,0.000209073,0.000209073,0.000209073
122,1775.03,1.01034,0.31522,0.00987,0.97652,0.96727,0.99108,0.66769,1.2077,0.36489,0.01145,0.000197062,0.000197062,0.000197062
123,1790.26,0.99954,0.29879,0.0096,0.9655,0.97616,0.98956,0.66607,1.2173,0.33252,0.01154,0.000185408,0.000185408,0.000185408
124,1804.86,0.99671,0.30323,0.00997,0.9659,0.98808,0.99256,0.66659,1.22398,0.32427,0.01158,0.000174115,0.000174115,0.000174115
125,1819.43,0.99692,0.30413,0.00958,0.96588,0.98741,0.99133,0.6595,1.23542,0.33535,0.01168,0.000163189,0.000163189,0.000163189
126,1833.94,1.00032,0.30366,0.00965,0.95503,0.98772,0.99167,0.658,1.24307,0.33717,0.01173,0.000152635,0.000152635,0.000152635
127,1848.22,0.97527,0.30434,0.00934,1,0.96249,0.99224,0.66265,1.23821,0.32918,0.01169,0.000142456,0.000142456,0.000142456
128,1861.84,0.98125,0.28814,0.00928,0.99736,0.97674,0.99138,0.65704,1.24042,0.33412,0.01176,0.000132658,0.000132658,0.000132658
129,1875.56,0.98859,0.29623,0.00956,0.99746,0.97674,0.99061,0.6492,1.24149,0.3439,0.0118,0.000123245,0.000123245,0.000123245
130,1889.75,1.00218,0.30329,0.00951,0.98516,0.97674,0.9921,0.65462,1.25972,0.33551,0.01196,0.000114221,0.000114221,0.000114221
131,1904.37,0.99844,0.30897,0.00962,0.98817,0.97674,0.99078,0.65098,1.24521,0.3448,0.01178,0.00010559,0.00010559,0.00010559
132,1918.9,0.97856,0.30198,0.00942,0.98661,0.97674,0.99135,0.65203,1.23273,0.355,0.01166,9.73555e-05,9.73555e-05,9.73555e-05
133,1933.45,0.9702,0.28023,0.00912,0.98614,0.96512,0.99125,0.66047,1.2379,0.34909,0.01173,8.95213e-05,8.95213e-05,8.95213e-05
